epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.747,0.94754,0.54371,0.87411,1,0.89449,0.94713,0.80645,1.09683,0.6732,0.9438,0.0702174,0.00330918,0.00330918
2,1187.36,0.97271,0.56091,0.87938,1,0.8987,0.94929,0.80672,1.11112,0.68688,0.95803,0.0401806,0.00660571,0.00660571
3,1771.46,1.01686,0.58338,0.8885,1,0.89509,0.94742,0.79855,1.18733,0.73558,0.97954,0.00999768,0.00975613,0.00975613
4,2361.41,1.04861,0.60856,0.89913,1,0.88183,0.94085,0.78592,1.22098,0.78617,1.00225,0.00950953,0.00950953,0.00950953
5,2985.28,1.08126,0.62629,0.90866,1,0.89431,0.94704,0.79436,1.21599,0.74887,0.99969,0.00914058,0.00914058,0.00914058
6,3592.85,1.06985,0.6235,0.90801,1,0.89952,0.94974,0.8016,1.16921,0.77095,0.97979,0.00868198,0.00868198,0.00868198
7,4194.6,1.04331,0.60586,0.90038,1,0.90213,0.95098,0.80398,1.14963,0.71723,0.97041,0.00814503,0.00814503,0.00814503
